"日期","收市","開市","高","低","成交量","更改%"
"2016年6月7日","64.90","64.30","64.95","64.30","30.84B","1.33%"
"2016年6月6日","64.05","64.00","64.60","63.65","12.99B","0.16%"
"2016年6月4日","63.95","63.75","64.00","63.70","3.20K","0.16%"
"2016年6月3日","63.85","63.60","64.00","63.60","11.79B","0.24%"
"2016年6月2日","63.70","63.70","64.05","63.40","13.72B","0.00%"
"2016年6月1日","63.70","62.95","63.85","62.95","25.00B","0.87%"
"2016年5月31日","63.15","63.05","63.35","62.80","8.68B","0.00%"
"2016年5月30日","63.15","62.60","63.35","62.50","26.91B","0.88%"
"2016年5月27日","62.60","62.40","62.65","62.20","25.76B","0.72%"
"2016年5月26日","62.15","62.05","62.15","61.80","26.04B","0.24%"
"2016年5月25日","62.00","61.75","62.25","61.75","25.86B","1.06%"
"2016年5月24日","61.35","61.75","61.85","61.35","6.42B","-1.05%"
"2016年5月23日","62.00","60.10","62.00","59.85","21.66B","3.33%"
"2016年5月20日","60.00","59.85","60.30","59.60","8.13B","0.59%"
"2016年5月19日","59.65","60.00","60.05","59.30","8.05B","-0.50%"
"2016年5月18日","59.95","59.70","60.00","59.25","8.58B","-0.17%"
"2016年5月17日","60.05","59.65","60.10","59.25","12.34B","0.76%"
"2016年5月16日","59.60","59.15","59.70","59.10","6.65B","0.76%"
"2016年5月13日","59.15","59.55","59.55","59.00","29.67B","-1.09%"
"2016年5月12日","59.80","59.70","60.00","59.65","13.40B","-0.08%"
"2016年5月11日","59.85","60.20","60.30","59.55","19.05B","-0.25%"
"2016年5月10日","60.00","59.70","60.20","59.40","13.15B","0.50%"
"2016年5月9日","59.70","59.90","60.00","59.40","14.50B","0.00%"
"2016年5月6日","59.70","60.00","60.00","59.45","22.00B","-0.83%"
"2016年5月5日","60.20","60.10","60.25","59.65","14.59B","0.17%"
"2016年5月4日","60.10","60.75","60.85","59.80","14.50B","-1.07%"
"2016年5月3日","60.75","61.60","61.60","60.70","9.71B","-1.38%"
"2016年4月29日","61.60","61.85","62.00","61.35","7.27B","-1.28%"
"2016年4月28日","62.40","63.50","63.55","62.15","10.32B","-1.58%"
"2016年4月27日","63.40","63.20","63.60","63.00","2.47B","-0.16%"
"2016年4月26日","63.50","63.10","63.90","63.10","4.89B","0.40%"
"2016年4月25日","63.25","63.20","63.35","62.90","2.86B","0.08%"
"2016年4月22日","63.20","62.95","63.40","62.80","2.68B","0.40%"
"2016年4月21日","62.95","62.90","63.15","62.55","2.86B","0.48%"
"2016年4月20日","62.65","63.50","64.10","62.55","8.98B","-1.49%"
"2016年4月19日","63.60","64.30","64.65","63.50","5.84B","-0.39%"
"2016年4月18日","63.85","64.05","64.20","63.85","2.14B","-0.62%"
"2016年4月15日","64.25","63.80","64.30","63.55","11.67B","0.00%"
"2016年4月14日","64.25","64.40","64.60","64.10","8.13B","0.31%"
"2016年4月13日","64.05","63.25","64.20","63.25","11.85B","1.75%"
"2016年4月12日","62.95","63.05","63.50","62.75","2.75B","-0.08%"
"2016年4月11日","63.00","62.50","63.10","62.15","5.35B","0.40%"
"2016年4月8日","62.75","61.80","62.80","61.80","6.75B","0.97%"
"2016年4月7日","62.15","62.50","62.50","61.60","20.22B","-0.40%"
"2016年4月6日","62.40","63.30","63.30","62.35","8.96B","-2.35%"
"2016年4月1日","63.90","64.25","64.35","63.60","4.65B","-1.16%"
"2016年3月31日","64.65","65.10","65.40","64.45","16.05B","-0.08%"
"2016年3月30日","64.70","64.05","64.90","64.00","29.12B","1.65%"
"2016年3月29日","63.65","64.00","64.30","63.50","10.74B","-0.70%"
"2016年3月28日","64.10","64.05","64.40","63.80","7.35B","0.08%"
"2016年3月25日","64.05","64.50","64.50","63.95","3.81B","-0.47%"
"2016年3月24日","64.35","64.25","64.50","63.70","8.53B","0.00%"
"2016年3月23日","64.35","64.40","64.85","64.25","12.00B","-0.08%"
"2016年3月22日","64.40","64.35","64.55","63.85","8.18B","-0.31%"
"2016年3月21日","64.60","64.90","65.05","64.20","6.06B","-0.15%"
"2016年3月18日","64.70","64.40","64.85","64.30","30.88B","0.62%"
"2016年3月17日","64.30","64.55","64.90","64.05","20.03B","1.10%"
"2016年3月16日","63.60","63.35","63.75","63.35","36.28B","0.87%"
"2016年3月15日","63.05","64.00","64.10","63.00","18.90B","-1.48%"
"2016年3月14日","64.00","64.00","64.25","63.95","25.83B","0.71%"
"2016年3月11日","63.55","63.20","63.75","63.05","22.68B","0.47%"
"2016年3月10日","63.25","63.05","63.40","62.85","21.35B","0.24%"
"2016年3月9日","63.10","63.05","63.15","62.65","8.10B","0.08%"
"2016年3月8日","63.05","63.00","63.10","62.50","13.63B","-0.08%"
"2016年3月7日","63.10","63.20","63.70","62.90","21.50B","0.00%"
"2016年3月4日","63.10","62.90","63.30","62.75","24.05B","0.24%"
"2016年3月3日","62.95","62.35","63.30","62.35","32.60B","0.96%"
"2016年3月2日","62.35","62.35","62.75","62.25","22.87B","0.81%"
"2016年3月1日","61.85","61.25","61.95","61.10","17.24B","0.98%"
"2016年2月26日","61.25","61.35","61.70","60.90","14.51B","0.25%"
"2016年2月25日","61.10","60.60","61.35","60.50","16.93B","1.33%"
"2016年2月24日","60.30","60.80","61.30","60.20","7.76B","-0.90%"
"2016年2月23日","60.85","61.00","61.15","60.70","4.92B","0.08%"
"2016年2月22日","60.80","60.85","61.60","60.55","11.61B","-0.08%"
"2016年2月19日","60.85","60.80","61.05","60.60","11.35B","-0.08%"
"2016年2月18日","60.90","60.80","61.15","60.50","16.99B","1.58%"
"2016年2月17日","59.95","60.40","60.50","59.95","12.47B","-0.50%"
"2016年2月16日","60.25","59.10","60.35","59.10","17.82B","2.12%"
"2016年2月15日","59.00","58.30","59.10","58.10","7.22B","0.08%"
"2016年2月3日","58.95","59.00","59.25","58.60","6.99B","-0.67%"
"2016年2月2日","59.35","59.45","59.55","59.00","4.58B","-0.34%"
"2016年2月1日","59.55","59.50","59.60","59.10","7.97B","0.00%"
"2016年1月30日","59.55","59.50","59.65","59.25","13.16K","0.93%"
"2016年1月29日","59.00","57.50","59.10","57.25","20.21B","2.52%"
"2016年1月28日","57.55","57.15","57.75","57.00","10.22B","0.52%"
"2016年1月27日","57.25","57.40","57.45","56.95","9.10B","0.44%"
"2016年1月26日","57.00","57.00","57.15","56.70","7.58B","-0.96%"
"2016年1月25日","57.55","57.00","57.80","57.00","12.77B","1.77%"
"2016年1月22日","56.55","56.35","56.60","56.00","13.94B","1.34%"
"2016年1月21日","55.80","56.10","56.30","55.60","10.45B","-0.18%"
"2016年1月20日","55.90","56.85","56.85","55.60","22.69B","-2.36%"
"2016年1月19日","57.25","57.00","57.25","56.65","8.11B","0.26%"
"2016年1月18日","57.10","55.90","57.30","55.80","13.01B","0.71%"
"2016年1月15日","56.70","57.10","57.50","56.25","20.85B","0.00%"
"2016年1月14日","56.70","56.50","56.70","55.85","15.49B","-0.79%"
"2016年1月13日","57.15","57.00","57.50","56.75","11.85B","1.15%"
"2016年1月12日","56.50","56.80","57.00","56.30","17.65B","-0.09%"
"2016年1月11日","56.55","56.90","56.95","56.00","24.36B","-1.57%"
"2016年1月8日","57.45","57.00","57.70","56.85","25.45B","0.17%"
"2016年1月7日","57.35","58.30","58.30","56.70","37.96B","-1.88%"
"2016年1月6日","58.45","59.05","59.05","57.90","28.94B","-1.02%"
"2016年1月5日","59.05","59.50","59.75","58.85","21.78B","-0.84%"
"2016年1月4日","59.55","60.80","60.95","59.05","16.93B","-1.98%"
"2015年12月31日","60.75","60.55","60.95","60.50","3.89B","0.33%"
"2015年12月30日","60.55","61.15","61.15","60.45","7.26B","-0.74%"
"2015年12月29日","61.00","61.40","61.40","60.80","3.97B","-0.73%"
"2015年12月28日","61.45","61.70","61.70","61.40","3.45B","-0.24%"
"2015年12月25日","61.60","61.20","61.60","61.20","6.55B","0.65%"
"2015年12月24日","61.20","61.35","61.65","61.20","8.46B","0.49%"
"2015年12月23日","60.90","60.95","61.30","60.80","7.26B","0.16%"
"2015年12月22日","60.80","60.70","60.90","60.40","5.14B","0.25%"
"2015年12月21日","60.65","60.05","60.75","59.90","4.34B","-0.16%"
"2015年12月18日","60.75","60.85","61.25","60.50","4.89B","-0.49%"
"2015年12月17日","61.05","60.55","61.05","60.35","7.61B","1.16%"
"2015年12月16日","60.35","60.00","60.40","59.70","6.53B","1.51%"
"2015年12月15日","59.45","59.70","60.05","59.35","6.80B","0.08%"
"2015年12月14日","59.40","59.25","59.65","59.00","9.53B","-0.75%"
"2015年12月11日","59.85","60.55","60.70","59.80","13.83B","-1.16%"
"2015年12月10日","60.55","60.40","60.75","59.75","16.62B","-0.33%"
"2015年12月9日","60.75","61.20","61.35","60.70","16.09B","-1.22%"
"2015年12月8日","61.50","62.25","62.30","61.20","9.20B","-1.60%"
"2015年12月7日","62.50","62.20","63.00","62.20","14.81B","1.21%"
"2015年12月4日","61.75","61.95","61.95","61.40","15.05B","-1.04%"
"2015年12月3日","62.40","61.90","62.55","61.70","6.06B","0.16%"
"2015年12月2日","62.30","62.45","62.75","62.15","6.36B","-0.16%"
"2015年12月1日","62.40","61.70","62.45","61.45","8.41B","1.96%"
"2015年11月30日","61.20","60.90","61.20","60.45","23.27B","-1.21%"
"2015年11月27日","61.95","62.90","62.90","61.80","6.29B","-1.35%"
"2015年11月26日","62.80","62.30","62.95","62.30","8.64B","1.37%"
"2015年11月25日","61.95","61.85","62.10","61.50","5.96B","0.00%"
"2015年11月24日","61.95","62.50","62.65","61.85","6.60B","-1.04%"
"2015年11月23日","62.60","62.60","62.75","62.15","3.46B","0.48%"
"2015年11月20日","62.30","62.35","62.50","62.05","5.42B","0.00%"
"2015年11月19日","62.30","61.95","62.30","61.55","10.13B","1.47%"
"2015年11月18日","61.40","62.35","62.35","61.20","14.98B","-1.52%"
"2015年11月17日","62.35","62.00","62.60","62.00","8.73B","1.96%"
"2015年11月16日","61.15","61.20","61.30","60.60","13.43B","-0.73%"
"2015年11月13日","61.60","61.80","62.45","61.55","20.38B","-1.04%"
"2015年11月12日","62.25","62.20","62.40","61.85","14.21B","0.16%"
"2015年11月11日","62.15","62.90","63.00","61.95","16.29B","-1.19%"
"2015年11月10日","62.90","63.30","63.40","62.85","8.85B","-1.18%"
"2015年11月9日","63.65","64.00","64.35","63.60","5.53B","-0.70%"
"2015年11月6日","64.10","65.40","65.40","63.65","11.91B","-1.99%"
"2015年11月5日","65.40","65.65","65.65","65.25","5.90B","-0.23%"
"2015年11月4日","65.55","64.75","65.60","64.70","16.55B","1.94%"
"2015年11月3日","64.30","63.80","64.40","63.80","9.29B","1.58%"
"2015年11月2日","63.30","63.10","63.40","62.60","4.83B","0.16%"
"2015年10月30日","63.20","63.30","63.45","62.80","5.99B","-0.16%"
"2015年10月29日","63.30","64.10","64.30","63.10","8.41B","-0.71%"
"2015年10月28日","63.75","64.20","64.25","63.60","5.07B","-0.70%"
"2015年10月27日","64.20","64.50","64.55","63.95","5.72B","-0.54%"
"2015年10月26日","64.55","64.50","64.85","64.45","12.08B","-2.05%"
"2015年10月23日","65.90","66.20","66.50","65.85","20.69B","0.61%"
"2015年10月22日","65.50","65.30","65.60","65.25","8.07B","0.00%"
"2015年10月21日","65.50","66.10","66.15","65.40","11.50B","-0.68%"
"2015年10月20日","65.95","66.00","66.10","65.80","4.53B","0.00%"
"2015年10月19日","65.95","66.00","66.20","65.70","7.41B","0.30%"
"2015年10月16日","65.75","65.95","66.00","65.60","8.19B","-0.38%"
"2015年10月15日","66.00","65.65","66.35","65.65","14.36B","1.46%"
"2015年10月14日","65.05","65.30","65.30","64.95","7.14B","-0.38%"
"2015年10月13日","65.30","65.60","65.65","65.15","7.49B","-0.38%"
"2015年10月12日","65.55","65.05","65.90","65.05","17.46B","1.31%"
"2015年10月8日","64.70","65.10","65.30","64.60","12.36B","-0.23%"
"2015年10月7日","64.85","63.90","64.85","63.90","8.64B","1.49%"
"2015年10月6日","63.90","64.15","64.70","63.85","8.30B","0.79%"
"2015年10月5日","63.40","63.80","64.00","63.25","5.38B","0.24%"
"2015年10月2日","63.25","63.35","63.60","63.10","7.57B","-0.55%"
"2015年10月1日","63.60","62.60","63.70","62.20","11.99B","1.92%"
"2015年9月30日","62.40","61.45","62.60","61.45","8.57B","0.24%"
"2015年9月25日","62.25","62.15","62.35","61.60","5.98B","0.40%"
"2015年9月24日","62.00","62.55","62.85","61.90","7.36B","-0.56%"
"2015年9月23日","62.35","63.20","63.20","62.20","10.04B","-2.27%"
"2015年9月22日","63.80","63.55","63.95","63.55","4.33B","0.55%"
"2015年9月21日","63.45","64.05","64.10","63.20","9.99B","-2.16%"
"2015年9月18日","64.85","65.00","65.00","64.55","3.51B","-0.23%"
"2015年9月17日","65.00","64.50","65.15","64.50","12.91B","1.72%"
"2015年9月16日","63.90","63.65","64.00","63.40","7.42B","1.19%"
"2015年9月15日","63.15","63.75","63.85","63.05","5.77B","-0.79%"
"2015年9月14日","63.65","63.90","64.00","63.25","4.39B","0.24%"
"2015年9月11日","63.50","63.30","63.70","63.05","7.96B","0.08%"
"2015年9月10日","63.45","63.80","63.80","63.15","10.18B","-1.09%"
"2015年9月9日","64.15","62.65","64.15","62.65","24.00B","4.39%"
"2015年9月8日","61.45","61.50","61.65","61.10","9.64B","0.33%"
"2015年9月7日","61.25","61.30","62.30","61.10","10.15B","-0.16%"
"2015年9月4日","61.35","62.15","62.55","61.35","15.81B","-1.29%"
"2015年9月3日","62.15","62.35","62.40","61.60","7.54B","0.08%"
"2015年9月2日","62.10","61.10","62.30","60.95","18.17B","0.57%"
"2015年9月1日","61.75","61.90","62.60","61.50","12.34B","-0.88%"
"2015年8月31日","62.30","61.30","62.35","61.20","18.96B","0.81%"
"2015年8月28日","61.80","61.00","61.90","61.00","18.68B","2.74%"
"2015年8月27日","60.15","60.60","60.65","60.00","18.33B","-0.33%"
"2015年8月26日","60.35","59.30","60.50","58.65","17.12B","0.58%"
"2015年8月25日","60.00","57.50","60.00","57.50","43.49B","4.35%"
"2015年8月24日","57.50","59.10","59.10","55.40","61.32B","-3.85%"
"2015年8月21日","59.80","60.60","60.75","59.80","28.08B","-2.61%"
"2015年8月20日","61.40","61.25","61.85","60.95","19.33B","-0.32%"
"2015年8月19日","61.60","62.40","62.50","61.30","17.60B","-1.52%"
"2015年8月18日","62.55","63.00","63.30","62.45","9.84B","-0.56%"
"2015年8月17日","62.90","63.30","63.30","62.70","13.85B","-0.63%"
"2015年8月14日","63.30","63.45","63.75","63.15","8.41B","-0.39%"
"2015年8月13日","63.55","63.45","63.90","63.35","16.15B","0.16%"
"2015年8月12日","63.45","64.25","64.45","63.00","24.22B","-1.70%"
"2015年8月11日","64.55","65.30","65.80","64.40","17.41B","0.00%"
"2015年8月10日","64.55","64.60","64.75","64.00","10.08B","-0.23%"
"2015年8月7日","64.70","64.50","65.00","64.20","6.90B","-0.46%"
"2015年8月6日","65.00","66.00","66.05","64.55","23.62B","-1.07%"
"2015年8月5日","65.70","65.55","66.00","65.30","9.88B","0.61%"
"2015年8月4日","65.30","65.50","66.00","65.00","12.31B","0.08%"
"2015年8月3日","65.25","65.90","65.90","64.90","15.76B","-1.36%"
"2015年7月31日","66.15","66.50","66.55","65.80","11.17B","-0.53%"
"2015年7月30日","66.50","65.60","66.55","65.55","7.47B","1.68%"
"2015年7月29日","65.40","65.90","65.90","65.10","18.49B","-0.68%"
"2015年7月28日","65.85","65.75","66.30","65.50","17.52B","0.08%"
"2015年7月27日","65.80","66.40","66.55","65.55","28.45B","-1.42%"
"2015年7月24日","66.75","67.05","67.25","66.50","19.92B","-0.60%"
"2015年7月23日","67.15","67.50","67.85","66.85","20.98B","-0.96%"
"2015年7月22日","67.80","68.20","68.30","67.70","14.14B","-1.24%"
"2015年7月21日","68.65","68.35","68.65","68.00","3.36B","0.96%"
"2015年7月20日","68.00","69.00","69.20","67.80","7.83B","-0.73%"
"2015年7月17日","68.50","68.35","68.65","68.30","3.43B","-0.15%"
"2015年7月16日","68.60","68.60","68.95","68.20","6.94B","0.51%"
"2015年7月15日","68.25","68.30","68.65","68.00","8.87B","0.22%"
"2015年7月14日","68.10","68.30","68.70","68.05","9.62B","0.00%"
"2015年7月13日","68.10","68.00","68.10","67.20","15.81B","1.49%"
"2015年7月9日","67.10","66.80","67.35","66.10","33.08B","-0.59%"
"2015年7月8日","67.50","69.20","69.20","67.45","37.90B","-3.02%"
"2015年7月7日","69.60","69.65","70.10","69.45","4.71B","0.43%"
"2015年7月6日","69.30","69.55","70.05","69.20","7.58B","-1.14%"
"2015年7月3日","70.10","70.00","70.20","69.25","7.76B","0.00%"
"2015年7月2日","70.10","70.20","70.25","69.85","4.34B","0.07%"
"2015年7月1日","70.05","69.40","70.30","69.25","6.06B","0.94%"
"2015年6月30日","69.40","68.80","69.40","68.80","4.09B","0.87%"
"2015年6月29日","68.80","69.35","69.60","68.75","11.58B","-2.34%"
"2015年6月26日","70.45","70.45","70.45","70.15","4.93B","0.00%"
"2015年6月25日","70.45","70.00","70.65","70.00","13.82B","1.15%"
"2015年6月24日","69.65","69.60","69.70","69.40","6.13B","0.14%"
"2015年6月23日","69.55","69.55","69.85","69.35","5.31B","0.29%"
"2015年6月22日","69.35","68.75","69.40","68.75","11.31B","1.39%"
"2015年6月18日","68.40","68.45","68.55","68.20","10.69B","-0.15%"
"2015年6月17日","68.50","68.20","68.75","68.20","5.56B","0.44%"
"2015年6月16日","68.20","68.65","68.65","68.05","8.68B","-0.66%"
"2015年6月15日","68.65","68.80","69.00","68.50","3.76B","-0.22%"
"2015年6月12日","68.80","68.90","69.00","68.45","3.18B","-0.07%"
"2015年6月11日","68.85","68.80","68.90","68.40","7.35B","0.29%"
"2015年6月10日","68.65","68.55","68.90","68.45","8.67B","0.44%"
"2015年6月9日","68.35","68.50","68.60","68.00","18.43B","-0.80%"
"2015年6月8日","68.90","68.30","69.05","68.00","9.09B","0.66%"
"2015年6月5日","68.45","68.50","68.60","68.20","15.11B","-0.22%"
"2015年6月4日","68.60","69.80","69.90","68.35","28.18B","-1.93%"
"2015年6月3日","69.95","70.30","70.40","69.90","6.56B","-0.64%"
"2015年6月2日","70.40","70.45","70.50","70.00","4.87B","-0.14%"
"2015年6月1日","70.50","71.10","71.15","70.25","7.85B","-0.84%"
"2015年5月29日","71.10","71.70","71.70","71.05","4.90B","-0.56%"
"2015年5月28日","71.50","71.75","71.90","71.25","5.79B","0.49%"
"2015年5月27日","71.15","70.85","71.30","70.70","5.81B","0.21%"
"2015年5月26日","71.00","71.20","71.60","70.80","7.52B","0.42%"
"2015年5月25日","70.70","70.45","70.95","70.30","2.39B","0.00%"
"2015年5月22日","70.70","70.20","70.95","70.20","6.15B","0.78%"
"2015年5月21日","70.15","70.15","70.20","69.75","11.57B","-0.92%"
"2015年5月20日","70.80","71.25","71.25","70.80","7.53B","-0.70%"
"2015年5月19日","71.30","70.40","71.45","70.40","8.46B","1.49%"
"2015年5月18日","70.25","70.05","70.30","70.00","3.25B","0.36%"
"2015年5月15日","70.00","70.30","70.35","69.70","11.64B","-0.14%"
"2015年5月14日","70.10","70.85","70.95","70.00","16.52B","-1.41%"
"2015年5月13日","71.10","70.70","71.20","70.70","6.87B","0.57%"
"2015年5月12日","70.70","70.60","70.85","70.55","9.06B","-0.21%"
"2015年5月11日","70.85","71.00","71.20","70.30","11.22B","0.50%"
"2015年5月8日","70.50","70.45","70.65","70.45","5.65B","0.07%"
"2015年5月7日","70.45","70.80","70.80","70.15","10.20B","-1.19%"
"2015年5月6日","71.30","70.80","71.40","70.50","6.60B","0.14%"
"2015年5月5日","71.20","71.40","71.40","70.90","6.80B","-0.56%"
"2015年5月4日","71.60","71.45","71.65","70.85","5.38B","0.21%"
"2015年4月30日","71.45","71.60","71.80","71.15","6.78B","-0.49%"
"2015年4月29日","71.80","72.50","72.70","71.60","10.07B","-1.10%"
"2015年4月28日","72.60","72.85","73.10","72.35","16.47B","-0.21%"
"2015年4月27日","72.75","73.00","73.30","72.60","13.28B","0.76%"
"2015年4月24日","72.20","71.70","72.85","71.70","26.53B","0.98%"
"2015年4月23日","71.50","70.20","71.50","70.15","24.33B","2.66%"
"2015年4月22日","69.65","69.30","69.80","69.25","11.31B","1.02%"
"2015年4月21日","68.95","69.05","69.30","68.85","2.86B","0.00%"
"2015年4月20日","68.95","68.70","69.15","68.55","9.57B","-0.14%"
"2015年4月17日","69.05","69.55","69.55","68.90","9.24B","-0.93%"
"2015年4月16日","69.70","68.95","69.70","68.90","15.77B","1.53%"
"2015年4月15日","68.65","69.25","69.50","68.40","17.27B","-1.22%"
"2015年4月14日","69.50","69.85","69.85","69.50","4.56B","-0.50%"
"2015年4月13日","69.85","69.90","69.95","69.65","4.20B","0.29%"
"2015年4月10日","69.65","69.70","69.80","69.45","4.60B","0.80%"
"2015年4月9日","69.10","69.00","69.85","68.95","6.21B","0.14%"
"2015年4月8日","69.00","69.60","69.60","68.85","5.07B","-0.86%"
"2015年4月7日","69.60","69.55","69.70","69.35","3.45B","0.14%"
"2015年4月2日","69.50","68.90","69.75","68.90","7.80B","1.24%"
"2015年4月1日","68.65","68.70","68.85","68.50","8.23B","-0.58%"
"2015年3月31日","69.05","69.00","69.25","68.80","7.64B","0.36%"
"2015年3月30日","68.80","68.75","68.90","68.55","10.35B","0.07%"
"2015年3月27日","68.75","69.40","69.40","68.65","10.01B","-0.94%"
"2015年3月26日","69.40","69.40","69.70","69.15","9.51B","-1.21%"
"2015年3月25日","70.25","70.50","70.60","70.10","4.46B","-0.35%"
"2015年3月24日","70.50","70.55","70.85","70.35","4.50B","-0.35%"
"2015年3月23日","70.75","70.55","70.90","70.45","7.60B","0.28%"
"2015年3月20日","70.55","70.65","70.65","70.40","4.50B","-0.14%"
"2015年3月19日","70.65","70.50","70.90","70.25","12.49B","1.07%"
"2015年3月18日","69.90","69.20","70.15","69.20","18.62B","1.08%"
"2015年3月17日","69.15","69.20","69.75","69.00","7.10B","0.36%"
"2015年3月16日","68.90","69.35","69.35","68.85","6.08M","-0.79%"
"2015年3月13日","69.45","69.65","69.75","69.45","4.53M","-0.29%"
"2015年3月12日","69.65","68.85","69.65","68.80","5.71M","0.87%"
"2015年3月11日","69.05","68.35","69.15","68.30","10.04M","0.15%"
"2015年3月10日","68.95","69.00","69.05","68.60","6.96M","-0.22%"
"2015年3月9日","69.10","69.45","69.50","68.90","7.46M","-1.00%"
"2015年3月6日","69.80","69.55","69.90","69.30","3.07M","0.14%"
"2015年3月5日","69.70","69.95","70.00","69.35","3.76M","-0.36%"
"2015年3月4日","69.95","69.55","70.05","69.50","6.41M","0.07%"
"2015年3月3日","69.90","70.05","70.10","69.50","5.07M","-0.14%"
"2015年3月2日","70.00","70.30","70.55","69.75","6.59M","-0.43%"
"2015年2月26日","70.30","70.55","70.65","70.05","8.69M","-0.71%"
"2015年2月25日","70.80","70.70","70.90","70.55","23.25M","0.78%"
"2015年2月24日","70.25","69.95","70.45","69.95","14.55M","1.15%"
"2015年2月13日","69.45","69.35","69.65","69.35","7.60M","0.65%"
"2015年2月12日","69.00","69.00","69.20","68.80","9.31M","0.00%"
"2015年2月11日","69.00","68.70","69.25","68.70","7.20M","1.10%"
"2015年2月10日","68.25","68.45","68.50","68.20","8.02M","-0.36%"
"2015年2月9日","68.50","68.75","68.75","68.25","3.51M","-0.36%"
"2015年2月6日","68.75","69.10","69.20","68.65","4.11M","-0.51%"
"2015年2月5日","69.10","69.05","69.25","68.80","4.78M","-0.43%"
"2015年2月4日","69.40","69.20","69.50","69.05","20.36M","1.09%"
"2015年2月3日","68.65","68.35","68.85","68.10","16.65M","0.73%"
"2015年2月2日","68.15","68.20","68.35","67.90","5.81M","0.22%"
"2015年1月30日","68.00","68.60","68.60","68.00","4.26M","-0.44%"
"2015年1月29日","68.30","69.05","69.05","68.15","19.79M","-1.23%"
"2015年1月28日","69.15","68.80","69.20","68.80","35.99M","0.00%"
"2015年1月27日","69.15","69.00","69.25","68.80","36.22M","0.66%"
"2015年1月26日","68.70","68.55","68.85","68.45","20.46M","0.00%"
"2015年1月23日","68.70","68.25","68.70","68.25","35.86M","1.63%"
"2015年1月22日","67.60","67.50","67.90","67.45","16.13M","0.52%"
"2015年1月21日","67.25","67.20","67.30","67.00","17.56M","0.75%"
"2015年1月20日","66.75","66.50","66.90","66.35","10.10M","0.75%"
"2015年1月19日","66.25","66.30","66.75","66.05","17.59M","1.15%"
"2015年1月16日","65.50","66.25","66.40","65.35","9.32M","-0.46%"
"2015年1月15日","65.80","65.65","65.95","65.35","3.53M","0.30%"
"2015年1月14日","65.60","66.00","66.05","65.40","7.21M","-0.53%"
"2015年1月13日","65.95","65.60","66.40","65.40","6.15M","0.30%"
"2015年1月12日","65.75","65.80","66.15","65.65","9.06M","-0.60%"
"2015年1月9日","66.15","66.90","66.95","66.05","5.89M","-0.53%"
"2015年1月8日","66.50","65.50","66.60","65.50","13.15M","2.31%"
"2015年1月7日","65.00","64.70","65.25","64.70","6.99M","0.15%"
"2015年1月6日","64.90","65.75","65.75","64.75","19.50M","-2.48%"
"2015年1月5日","66.55","66.40","66.75","66.00","6.30M","-0.45%"
"2014年12月31日","66.85","66.80","67.00","66.60","7.42M","0.00%"
"2014年12月30日","66.85","67.15","67.45","66.85","8.58M","-0.52%"
"2014年12月29日","67.20","66.60","67.30","66.55","11.10M","1.13%"
"2014年12月26日","66.45","66.35","66.50","66.20","6.28M","0.23%"
"2014年12月25日","66.30","66.35","66.40","66.15","4.42M","0.00%"
"2014年12月24日","66.30","65.90","66.40","65.85","6.96M","0.76%"
"2014年12月23日","65.80","66.15","66.30","65.75","5.24M","-0.30%"
"2014年12月22日","66.00","65.35","66.00","65.30","7.44M","1.23%"
"2014年12月19日","65.20","64.70","65.30","64.60","17.19M","2.35%"
"2014年12月18日","63.70","63.95","64.10","63.65","8.59M","0.24%"
"2014年12月17日","63.55","64.55","64.55","63.40","19.58M","-1.55%"
"2014年12月16日","64.55","64.80","65.00","64.55","12.71M","-0.84%"
"2014年12月15日","65.10","64.75","65.10","64.50","10.56M","-0.31%"
"2014年12月12日","65.30","65.25","65.50","65.15","4.48M","0.08%"
"2014年12月11日","65.25","65.05","65.35","64.70","6.92M","-0.08%"
"2014年12月10日","65.30","65.95","66.15","65.15","12.85M","-1.36%"
"2014年12月9日","66.20","66.25","66.30","66.00","4.62M","-0.23%"
"2014年12月8日","66.35","67.05","67.05","66.35","7.63M","-0.75%"
"2014年12月5日","66.85","67.10","67.10","66.75","4.32M","-0.37%"
"2014年12月4日","67.10","67.25","67.45","67.10","11.37M","0.37%"
"2014年12月3日","66.85","65.80","67.00","65.70","11.87M","1.60%"
"2014年12月2日","65.80","66.35","66.50","65.65","19.74M","-1.50%"
"2014年12月1日","66.80","66.30","67.45","66.15","21.28M","-1.04%"
"2014年11月28日","67.50","67.55","67.70","67.35","9.38M","0.00%"
"2014年11月27日","67.50","67.15","67.85","67.15","16.53M","0.97%"
"2014年11月26日","66.85","66.75","66.90","66.65","8.91M","0.00%"
"2014年11月25日","66.85","66.65","67.05","66.45","13.19M","0.07%"
"2014年11月24日","66.80","66.90","67.20","66.75","13.20M","0.23%"
"2014年11月21日","66.65","66.60","66.80","66.45","11.95M","0.08%"
"2014年11月20日","66.60","66.05","66.70","66.05","20.76M","1.14%"
"2014年11月19日","65.85","65.15","66.10","65.15","18.49M","1.46%"
"2014年11月18日","64.90","65.30","65.60","64.80","9.94M","-0.31%"
"2014年11月17日","65.10","66.05","66.10","64.80","17.46M","-0.91%"
"2014年11月14日","65.70","65.30","65.80","65.30","11.06M","0.08%"
"2014年11月13日","65.65","65.00","65.65","65.00","10.84M","1.00%"
"2014年11月12日","65.00","65.75","65.85","64.90","18.80M","-1.44%"
